,epo-24,epo-21,epo-18,epo-15,epo-12,epo-9,epo-6,epo-3,epo0,epo3,epo6,epo9,epo12,epo15,nao-24,nao-21,nao-18,nao-15,nao-12,nao-9,nao-6,nao-3,nao0,nao3,nao6,nao9,nao12,nao15,pna-24,pna-21,pna-18,pna-15,pna-12,pna-9,pna-6,pna-3,pna0,pna3,pna6,pna9,pna12,pna15,wpo-24,wpo-21,wpo-18,wpo-15,wpo-12,wpo-9,wpo-6,wpo-3,wpo0,wpo3,wpo6,wpo9,wpo12,wpo15
954,21.34,157.01,50.42,6.29,167.19,251.44,203.19,244.18,263.38,370.57,102.62,180.20,166.67,174.08,90.97,15.91,55.06,64.52,102.44,4.91,34.64,46.43,34.53,81.99,70.77,29.69,53.52,12.22,210.47,128.98,1.17,231.93,223.82,296.65,358.56,558.66,242.53,84.64,31.59,201.40,343.50,169.08,51.52,177.32,109.89,72.25,105.63,102.15,72.59,0.58,93.49,292.60,283.42,123.66,1.72,68.17
955,51.96,226.69,39.94,42.62,217.25,147.29,281.99,217.23,306.10,304.10,10.93,205.19,185.94,154.49,89.00,36.02,28.67,69.03,64.45,23.91,25.94,49.58,30.28,70.57,24.75,20.09,17.89,9.88,143.23,200.72,46.73,236.86,145.79,276.18,453.15,403.28,183.39,48.59,90.95,157.04,261.18,162.41,132.57,180.76,112.13,58.55,115.96,84.89,89.37,3.17,180.04,277.89,242.34,101.59,49.87,53.95
956,119.27,216.26,6.04,89.95,259.79,40.86,292.67,217.87,366.19,197.57,68.88,180.83,183.11,119.88,45.96,69.45,33.33,38.25,11.23,30.05,8.94,37.07,28.47,55.37,29.05,46.65,24.47,18.38,21.49,133.54,167.20,270.58,210.71,259.81,530.68,265.27,99.98,26.93,191.70,248.80,206.36,98.56,149.80,125.97,107.52,66.21,100.19,11.07,37.80,56.29,268.88,292.32,178.46,70.98,88.37,65.48
957,157.01,50.42,6.29,167.19,251.44,203.19,244.18,263.38,370.57,102.62,180.20,166.67,174.08,92.17,15.91,55.06,64.52,102.44,4.91,34.64,46.43,34.53,81.99,70.77,29.69,53.52,12.22,16.53,128.98,1.17,231.93,223.82,296.65,358.56,558.66,242.53,84.64,31.59,201.40,343.50,169.08,4.51,177.32,109.89,72.25,105.63,102.15,72.59,0.58,93.49,292.60,283.42,123.66,1.72,68.17,59.85
958,226.69,39.94,42.62,217.25,147.29,281.99,217.23,306.10,304.10,10.93,205.19,185.94,154.49,136.43,36.02,28.67,69.03,64.45,23.91,25.94,49.58,30.28,70.57,24.75,20.09,17.89,9.88,56.43,200.72,46.73,236.86,145.79,276.18,453.15,403.28,183.39,48.59,90.95,157.04,261.18,162.41,107.14,180.76,112.13,58.55,115.96,84.89,89.37,3.17,180.04,277.89,242.34,101.59,49.87,53.95,52.88
959,216.26,6.04,89.95,259.79,40.86,292.67,217.87,366.19,197.57,68.88,180.83,183.11,119.88,146.16,69.45,33.33,38.25,11.23,30.05,8.94,37.07,28.47,55.37,29.05,46.65,24.47,18.38,27.49,133.54,167.20,270.58,210.71,259.81,530.68,265.27,99.98,26.93,191.70,248.80,206.36,98.56,162.92,125.97,107.52,66.21,100.19,11.07,37.80,56.29,268.88,292.32,178.46,70.98,88.37,65.48,7.27
960,50.42,6.29,167.19,251.44,203.19,244.18,263.38,370.57,102.62,180.20,166.67,174.08,92.17,122.27,55.06,64.52,102.44,4.91,34.64,46.43,34.53,81.99,70.77,29.69,53.52,12.22,16.53,4.18,1.17,231.93,223.82,296.65,358.56,558.66,242.53,84.64,31.59,201.40,343.50,169.08,4.51,186.93,109.89,72.25,105.63,102.15,72.59,0.58,93.49,292.60,283.42,123.66,1.72,68.17,59.85,47.72
961,39.94,42.62,217.25,147.29,281.99,217.23,306.10,304.10,10.93,205.19,185.94,154.49,136.43,81.20,28.67,69.03,64.45,23.91,25.94,49.58,30.28,70.57,24.75,20.09,17.89,9.88,56.43,2.84,46.73,236.86,145.79,276.18,453.15,403.28,183.39,48.59,90.95,157.04,261.18,162.41,107.14,164.54,112.13,58.55,115.96,84.89,89.37,3.17,180.04,277.89,242.34,101.59,49.87,53.95,52.88,56.25
962,6.04,89.95,259.79,40.86,292.67,217.87,366.19,197.57,68.88,180.83,183.11,119.88,146.16,48.18,33.33,38.25,11.23,30.05,8.94,37.07,28.47,55.37,29.05,46.65,24.47,18.38,27.49,13.51,167.20,270.58,210.71,259.81,530.68,265.27,99.98,26.93,191.70,248.80,206.36,98.56,162.92,172.58,107.52,66.21,100.19,11.07,37.80,56.29,268.88,292.32,178.46,70.98,88.37,65.48,7.27,15.91
963,6.29,167.19,251.44,203.19,244.18,263.38,370.57,102.62,180.20,166.67,174.08,92.17,122.27,12.23,64.52,102.44,4.91,34.64,46.43,34.53,81.99,70.77,29.69,53.52,12.22,16.53,4.18,11.60,231.93,223.82,296.65,358.56,558.66,242.53,84.64,31.59,201.40,343.50,169.08,4.51,186.93,212.27,72.25,105.63,102.15,72.59,0.58,93.49,292.60,283.42,123.66,1.72,68.17,59.85,47.72,9.14
964,42.62,217.25,147.29,281.99,217.23,306.10,304.10,10.93,205.19,185.94,154.49,136.43,81.20,20.24,69.03,64.45,23.91,25.94,49.58,30.28,70.57,24.75,20.09,17.89,9.88,56.43,2.84,98.08,236.86,145.79,276.18,453.15,403.28,183.39,48.59,90.95,157.04,261.18,162.41,107.14,164.54,144.68,58.55,115.96,84.89,89.37,3.17,180.04,277.89,242.34,101.59,49.87,53.95,52.88,56.25,6.99
965,89.95,259.79,40.86,292.67,217.87,366.19,197.57,68.88,180.83,183.11,119.88,146.16,48.18,51.52,38.25,11.23,30.05,8.94,37.07,28.47,55.37,29.05,46.65,24.47,18.38,27.49,13.51,182.36,270.58,210.71,259.81,530.68,265.27,99.98,26.93,191.70,248.80,206.36,98.56,162.92,172.58,50.36,66.21,100.19,11.07,37.80,56.29,268.88,292.32,178.46,70.98,88.37,65.48,7.27,15.91,9.50
966,167.19,251.44,203.19,244.18,263.38,370.57,102.62,180.20,166.67,174.08,92.17,122.27,12.23,89.54,102.44,4.91,34.64,46.43,34.53,81.99,70.77,29.69,53.52,12.22,16.53,4.18,11.60,200.11,223.82,296.65,358.56,558.66,242.53,84.64,31.59,201.40,343.50,169.08,4.51,186.93,212.27,36.29,105.63,102.15,72.59,0.58,93.49,292.60,283.42,123.66,1.72,68.17,59.85,47.72,9.14,9.53
